Id_nauczyciela;Imię;Nazwisko
1;Abelia;Lebiodka
2;Abina;Fiołek
3;Adamnan;Lilia
4;Adra;Gorczyca
5;Amparo;Rumianek
6;Antonia;Rdest
7;Apostazja;Pokrzywa
8;Arlena;Len
9;Balladyna;Chmiel
10;Benicjusz;Naparstnica
11;Biryn;Przylaszczka
12;Boromeusz;Malina
13;Borys;Kaktus
14;Borys;Pokrzyk
15;Bułat;Dziewanna
16;Dafroza;Kosaciec
17;Eufrozyna;Kąkol
18;Ezio;Fikus
19;Ezio;Pierwiosnek
20;Fiebrosław;Gęsiówka
21;Filip;Barwinek
22;Filip;Dziurawiec
23;FilipNeriusz;Krwawnik
24;FranciszekKsawery;Łubin
25;FranciszkaKsawera;Bławatek
26;Gonsalwy;Koniczyna
27;Irydion;Tulipan
28;Jagoda;Róża
29;JanGwalbert;Macierzanka
30;JanKanty;Asparagus
31;JanKanty;Lucerna
32;Jurata;Komosa
33;Kalasanty;Konwalia
34;Kalasanty;Łopian
35;Klet;Chaber
36;Kordian;Jasnota
37;Kordian;Nawłoć
38;Ksaweryna;Mięta
39;Liboriusz;Gladiola
40;Maja;Bluszcz
41;Piotr;Mniszek
42;Stefan;Groszek
43;Stefan;Powój
44;Symplicjusz;Mak
45;Tupak;Ostróżka
46;Wadim;Niezapominajka
