Indeks; Nazwisko; Imie
5003; Pbacki; Agrypin
5004; Mbacki; Ananiusz
5005; Cbacki; Ananiusz
5006; Kbacka; Tedora
5007; Ibacka; Apolinara
5008; Nbacka; Archangela
5009; Hbacki; Auksentiusz
5010; Kbacki; Bernard
5011; Lbacka; Asteria
5012; Dbacki; Bibian
5013; Wbacka; Balbina
5014; Pbacki; Bonifacy
5015; Lbacki; Cejoniusz
5016; Abacki; Celestyn
5017; Ebacki; Dalmacjusz
5018; Cbacka; Beatricja
5019; Jbacka; Blandyna
5020; Rbacka; Bonifacja
5021; Lbacka; Bryzejda
5022; Kbacki; Dalmir
5023; Obacki; Dezydery
5024; Gbacki; Dezydor
5025; Wbacka; Cezara
5026; Sbacka; Chryzantyna
5027; Tbacki; Donacjan
5028; Abacka; Dalicja
5029; Ebacka; Danona
5030; Fbacka; Dygna
5031; Rbacki; Druzus
5032; Ubacki; Dymazy
5033; Gbacki; Enryk
5034; Lbacka; Eleonera
5035; Bbacki; Euligiusz
5036; Nbacki; Eupator
5037; Wbacki; Fabrycy
5038; Cbacki; Farsanzes
5039; Mbacki; Faustyn
5040; Ebacki; Flawiusz
5041; Fbacka; Emeryta
5042; Jbacka; Eugeniusza
5043; Kbacki; Frumencjusz
5044; Rbacki; Galien
5045; Ibacki; Gryzel
5046; Gbacki; Honoriusz
5047; Fbacka; Felicyta
5048; Hbacka; Gedeona
5049; Sbacki; Idzior
5050; Tbacka; Hadriana
5051; Bbacki; Ilgon
5052; Ebacka; Heraklia
5053; Nbacka; Herennia
5054; Kbacki; Ilidiusz
5055; Ubacka; Hersylia
5056; Pbacka; Inicja
5057; Ubacka; Ismena
5058; Rbacka; Jacyna
5059; Hbacka; Joleta
5060; Nbacki; Izaur
5061; Dbacki; Jaremiusz
5062; Mbacki; Juliusz
5063; Sbacka; Juwencja
5064; Obacki; Juwenalis
5065; Cbacka; Kalinika
5066; Nbacki; Kalasanty
5067; Lbacki; Kwintyn
5068; Bbacki; Laurencjusz
5069; Gbacki; Marsjan
5070; Pbacka; Klaudyna
5071; Fbacki; Maryniusz
5072; Nbacka; Klerysa
5073; Ebacka; Konsolata
5074; Tbacka; Kornella
5075; Nbacki; Pacyfik
5076; Wbacka; Ksawera
5077; Dbacki; Pescenniusz
5078; Fbacka; Ksaweryna
5079; Ebacki; Pescenniusz
5080; Dbacka; Kwieta
5081; Sbacki; Placyd
5082; Ibacki; Remetalkes
5083; Dbacki; Sabatiusz
5084; Ibacki; Scypion
5085; Obacki; Sostenes
5086; Obacki; Sylwer
5087; Fbacki; Synezjusz
5088; Lbacka; Lolentyna
5089; Rbacki; Synezjusz
5090; Ibacki; Syrycjusz
5091; Pbacki; Syweriusz
5092; Nbacki; Szmaragd
5093; Lbacki; Tedor
5094; Ibacka; Lucja
5095; Hbacki; Teodot
5096; Lbacka; Lukrecja
5097; Ubacka; Marcja
5098; Abacka; Merkuria
5099; Ubacka; Mirwina
5100; Gbacka; Muza
5101; Rbacki; Terencjusz
5102; Nbacki; Treweriusz
5103; Lbacka; Prudencja
5104; Hbacki; Troadiusz
5105; Ubacki; Wicenty
5106; Ibacki; Windeks
5107; Nbacki; Agrypin
5108; Hbacka; Rosselina
