identyfikator;nazwisko;imie;data_urodzenia;kod_udzialu
1001;Ttbacki;Donat;1988-5-23;011111
1002;Htbacki;Maksymilian;1993-7-22;001100
1003;Nbbacki;Remigiusz;1976-10-27;111100
1004;Fobacka;Marianna;1950-11-24;111110
1005;Fnbacka;Tuskana;1977-10-22;010110
1006;Tubacki;Horacjusz;1993-6-18;000100
1007;Subacka;Gracja;1950-12-13;111101
1008;Gtbacka;Ignacja;1988-1-4;010000
1009;Ktbacki;Waleriusz;1976-5-14;111000
1010;Kebacka;Herenia;1956-8-10;011110
1011;Mwbacka;Laura;1987-9-6;101111
1012;Dmbacka;Honoryna;1964-2-8;100001
1013;Apbacka;Regina;1986-12-22;010011
1014;Udbacki;Wenerand;1995-4-17;111111
1015;Hbbacki;Honorat;1956-1-30;011011
1016;Dhbacki;Roman;1962-12-4;101110
1017;Mabacka;Fabia;1976-2-8;000001
1018;Fubacka;Tarsylia;1978-1-11;000111
1019;Rfbacki;January;1962-3-26;101010
1020;Mbbacki;Serwiusz;1960-6-3;001111
1021;Dmbacki;Rufus;1984-6-1;100111
1022;Tebacki;Maksymilian;1968-3-26;000000
1023;Rabacki;Julian;1966-6-18;111100
1024;Wtbacka;£ucjana;1985-5-22;110000
1025;Gnbacki;Barbacy;1979-8-31;111111
1026;Urbacka;Fabia;1960-4-25;101011
1027;Ndbacka;Potencjana;1959-7-14;000011
1028;Cobacki;Sylweriusz;1974-10-27;011011
1029;Lebacki;Fidelis;1952-8-10;101100
1030;Nhbacki;Turybiusz;1999-4-12;101011
1031;Otbacka;Konstantyna;1956-4-11;000001
1032;Oibacka;Aurea;1963-3-24;110111
1033;Ftbacki;Augustyn;1972-9-10;110111
1034;Wabacki;Eligiusz;1960-9-3;101101
1035;Obbacki;Treweriusz;1986-5-21;111110
1036;Rubacki;Dominik;1952-3-6;011000
1037;Rkbacka;Marcjanna;1966-7-22;000011
1038;Lbbacki;Remus;1954-9-12;001101
1039;Npbacka;Klara;1986-2-3;100001
1040;Ewbacka;Kamila;1987-10-1;010010
1041;Hfbacki;Klementyn;1975-9-25;001110
1042;Lcbacki;Arsacjusz;1953-2-14;010001
1043;Oabacka;Gaja;1964-5-10;001100
1044;Eebacka;Natalia;1966-10-12;001000
1045;Nabacka;Liliana;1975-10-17;100001
1046;Glbacka;Domna;1952-11-17;000111
1047;Whbacka;Feliksa;1994-5-14;000001
1048;Tsbacki;Julian;1956-6-7;100101
1049;Ujbacki;Druzjan;1973-5-9;100110
1050;Mfbacki;Montan;1984-9-8;101101
1051;Gsbacki;Tyburcy;1962-10-12;010011
1052;Rbbacki;January;1990-12-30;110110
1053;Bwbacka;Wirginia;1972-11-18;001100
1054;Kpbacki;Klaudiusz;1953-2-20;000010
1055;Odbacki;Konstanty;1993-12-25;010110
1056;Ncbacka;Klaudia;1950-7-18;001001
1057;Mobacki;Gaudencjusz;1997-10-31;100101
1058;Rhbacki;Lucjusz;1992-11-2;111111
1059;Nubacki;Aurelian;1993-5-21;100110
1060;Ddbacki;Horacy;1958-2-7;000110
1061;Ddbacka;Wirginia;1981-10-5;110111
1062;Knbacki;Dacjan;1950-11-29;010101
1063;Fsbacki;Klaudian;1952-6-7;001010
1064;Sabacka;Lilia;1967-11-13;100001
1065;Gobacki;Sylwiusz;1975-2-17;101011
1066;Erbacka;Maura;1972-9-17;100000
1067;Cpbacka;Wirydiana;1994-12-28;100001
1068;Wobacka;Pia;1954-5-11;111011
1069;Fmbacki;Nestor;1996-5-27;011110
1070;Kobacki;Amat;1953-8-11;000111
1071;Hmbacki;Juniusz;1988-3-16;100101
1072;Swbacki;Salwator;1974-10-19;111001
1073;Nubacka;Benigna;1950-8-10;010011
1074;Nmbacka;Hadrianna;1981-3-10;010000
1075;Ocbacka;Kaja;1992-10-14;010001
1076;Nkbacka;Kordula;1980-9-5;100100
1077;Lubacki;Marceli;1969-5-19;100101
1078;Tibacka;Blandyna;1980-3-7;010100
1079;Ksbacki;Marcjalis;1973-12-27;110110
1080;Sjbacka;Modesta;1954-9-3;100000
1081;Sfbacka;Flora;1987-10-23;100001
1082;Pdbacka;Fabia;1983-3-5;101001
1083;Fubacki;January;1993-8-13;101111
1084;Kkbacki;Tygriusz;1961-5-5;101000
1085;Mcbacki;Wenanty;1957-8-25;001100
1086;Fjbacka;Fotyna;1996-7-10;011111
1087;Eabacki;Modest;1958-2-1;101010
1088;Ctbacki;Wigiliusz;1995-7-24;101100
1089;Libacka;Wirydiana;1994-12-4;101010
1090;Utbacka;Gracja;1969-4-13;110010
1091;Okbacka;Letycja;1993-6-12;100010
1092;Libacka;Wirydiana;1998-10-25;110111
1093;Hibacka;Feliksa;1992-8-19;110011
1094;Phbacki;Matern;1955-2-9;101001
1095;Ucbacki;Pius;1977-11-21;111111
1096;Ldbacki;Bonit;1979-6-21;110001
1097;Cmbacka;Florianna;1964-9-11;001111
1098;Mfbacka;Florianna;1978-10-23;011101
1099;Webacki;Dorian;1974-2-19;010110
1100;Mmbacka;Innocencja;1982-5-26;000101
1101;Hkbacki;Walenty;1955-6-27;011100
1102;Pabacka;Augustyna;1967-12-17;101000
1103;Gabacki;Gratus;1978-12-10;111001
1104;Mobacka;Sylwestra;1956-3-27;000100
1105;Ftbacka;Lilianna;1984-2-23;001011
1106;Fhbacka;Tulia;1995-12-6;100100
1107;Uibacka;Leona;1974-12-28;110100
1108;Pbbacki;Ardalion;1974-3-4;100111
1109;Esbacki;Ursyn;1959-1-24;110101
1110;Aebacka;Lucyla;1952-6-6;010101
1111;Bnbacka;Gajana;1984-12-30;011100
1112;Fjbacki;Sekundyn;1993-2-19;000100
1113;Dkbacka;Seweryna;1989-8-16;110010
1114;Dpbacka;Hilaria;1971-6-10;101100
1115;Pnbacki;Sulpicjusz;1983-6-16;011000
1116;Uwbacka;Krystiana;1967-3-21;100100
1117;Gubacki;Maksencjusz;1979-4-14;010011
1118;Wlbacka;Auksencja;1961-12-1;000100
1119;Tgbacka;Weridiana;1996-12-26;100010
1120;Msbacka;Innocentyna;1988-7-20;101100
1121;Hfbacka;Gracja;1998-1-21;001011
1122;Rwbacki;Mariusz;1977-12-10;110011
1123;Hhbacka;Pudencjanna;1972-6-30;010111
1124;Ofbacki;Druzjan;1960-2-5;010000
1125;Fdbacki;Amat;1966-4-15;100010
1126;Flbacki;Florian;1976-9-17;101000
1127;Fgbacka;Lukrecja;1976-12-26;110011
1128;Abbacka;Pia;1977-2-11;111101
1129;Lpbacka;Fortunata;1983-7-23;111000
1130;Fhbacki;Treweriusz;1972-2-27;111000
1131;Lsbacka;Eligia;1990-9-21;010000
1132;Rnbacki;Pawe³;1995-8-14;111110
1133;Lgbacki;Scypion;1997-4-30;011111
1134;Bebacki;Fotyn;1950-7-22;100111
1135;Ufbacka;Honorata;1971-3-1;100111
1136;Rgbacka;Scholastyka;1988-1-10;011010
1137;Gwbacki;Tyberiusz;1981-5-15;100110
1138;Bobacka;Leona;1971-9-6;110100
1139;Scbacka;Rozalia;1963-7-20;101010
1140;Mnbacki;Flawiusz;1963-1-3;100110
1141;Ntbacki;Konstancjusz;1999-12-3;100111
1142;Gibacki;Waleriusz;1980-6-18;100110
1143;Dobacki;Dezyderiusz;1997-4-6;111010
1144;Ehbacki;Auksencjusz;1968-8-14;111111
1145;Oubacka;Diana;1978-1-23;011010
1146;Llbacka;Zyta;1963-5-31;011001
1147;Odbacka;Tyburcja;1959-1-10;101101
1148;Akbacka;Domna;1955-7-3;001100
1149;Whbacki;Arsacjusz;1992-11-18;010010
1150;Cibacki;Felicjan;1988-6-3;011010
1151;Tcbacki;Floryn;1980-7-25;001010
1152;Cbbacka;Florianna;1965-7-25;010000
1153;Atbacka;Leona;1993-6-7;100011
1154;Fkbacka;Perpetua;1978-11-6;110101
1155;Ggbacka;Auksencja;1995-10-8;000010
1156;Lfbacka;Floryna;1951-6-2;110011
1157;Ksbacka;Leonia;1989-4-1;011001
1158;Edbacki;Oktawiusz;1972-10-1;011000
1159;Hdbacka;Florianna;1974-7-31;110010
1160;Bgbacki;Sergiusz;1965-11-23;111101
1161;Sobacka;Blandyna;1991-9-7;011010
1162;Epbacki;Klemens;1952-9-19;110011
1163;Fdbacka;Lawinia;1953-2-20;010001
1164;Lmbacka;Mamertyna;1995-10-7;001101
1165;Mebacki;Sekundyn;1975-5-15;100000
1166;Wtbacki;Napoleon;1960-3-9;110100
1167;Ulbacki;Sabinian;1969-1-19;111111
1168;Dwbacki;Tycjan;1953-6-13;000101
1169;Bdbacki;Sewer;1956-10-20;000110
1170;Pfbacka;Honoryna;1994-1-29;101001
1171;Lwbacka;Tacjana;1963-10-15;111100
1172;Nbbacka;Augustyna;1985-2-5;111110
1173;Wcbacka;Laurencja;1966-10-1;100000
1174;Mibacka;Nonna;1990-1-25;001011
1175;Wjbacka;Laurencja;1967-2-6;100101
1176;Dbbacki;£ukasz;1964-10-29;011001
1177;Kjbacki;Wiktorian;1955-6-7;000000
1178;Twbacka;Klementyna;1964-3-30;101011
1179;Fabacka;Sylwana;1951-4-3;111111
1180;Trbacka;Wera;1969-2-16;111100
1181;Hebacki;Feliks;1987-12-20;111111
1182;Wwbacki;Sylwester;1971-10-26;000000
1183;Brbacki;Awit;1979-12-24;001110
1184;Opbacki;Konstancjusz;1985-3-24;101011
1185;Fibacka;Augustyna;1950-1-5;101011
1186;Ambacka;Dalia;1962-7-25;010111
1187;Bwbacki;Aureliusz;1983-6-11;101110
1188;Lkbacki;Laurenty;1987-9-12;110101
1189;Bnbacki;Marcin;1961-8-22;111101
1190;Pebacki;Kasjusz;1962-7-31;010100
1191;Ffbacki;Sylwester;1988-1-20;100001
1192;Hkbacka;Florianna;1998-11-20;000001
1193;Babacki;Walenty;1974-2-1;101001
1194;Wdbacka;Zyta;1953-12-2;010001
1195;Ejbacki;Antonin;1997-1-29;100111
1196;Wrbacki;Flawiusz;1968-4-13;110000
1197;Tnbacka;Aurelia;1987-5-31;110100
1198;Unbacka;Romula;1979-2-25;100100
1199;Mrbacki;Druzjan;1963-4-22;010100
1200;Swbacka;Honorata;1983-10-7;011110
1201;Oibacki;Maksencjusz;1966-4-5;111100
1202;Wbbacki;Sekundyn;1968-12-23;100111
1203;Kfbacki;Kamil;1963-12-21;010100
1204;Kdbacki;Katerw;1960-11-27;010110
1205;Hnbacka;Lidia;1996-8-11;010010
1206;Hobacka;Benigna;1956-2-5;111111
1207;Dgbacki;August;1956-12-4;010000
1208;Mcbacka;Benigna;1990-12-1;111011
1209;Kibacki;Augustyn;1951-3-5;011011
1210;Ombacki;Maniusz;1965-4-15;001100
1211;Njbacka;Seweryna;1976-11-28;110111
1212;Erbacki;Cecylian;1965-6-6;100001
1213;Cwbacka;Maura;1978-5-27;011011
1214;Cgbacki;Remus;1967-3-27;010111
1215;Tpbacka;Kaja;1967-11-4;110100
1216;Pmbacki;Klaudian;1992-5-26;001000
1217;Asbacka;Wirginia;1980-1-1;011101
1218;Kwbacka;Floryna;1995-6-21;110011
1219;Wnbacki;Cecylian;1992-12-15;111011
1220;Kjbacka;Aurelia;1983-5-8;111100
1221;Dfbacki;Faust;1952-4-27;010111
1222;Grbacki;Honoriusz;1961-5-24;001000
1223;Nhbacka;Innocenta;1994-10-4;010011
1224;Spbacki;Kryspin;1983-6-13;111100
1225;Npbacki;Modest;1981-12-8;010110
1226;Kmbacka;Honorata;1993-6-11;010101
1227;Nobacki;Justyn;1954-5-27;001110
1228;Akbacki;Litoriusz;1964-10-10;110111
1229;Usbacki;August;1974-6-14;100010
1230;Wabacka;Zyta;1991-9-30;011101
1231;Ombacka;Gaja;1990-5-15;001100
1232;Scbacki;Antoni;1968-11-27;100110
1233;Wpbacki;Natalis;1957-12-29;000011
1234;Wmbacki;Fotyn;1970-9-21;101110
1235;Bfbacka;Felicyta;1970-6-28;101100
1236;Upbacka;Marcjanna;1964-8-6;111101
1237;Gpbacka;Auksencja;1977-8-17;011100
1238;Rtbacka;Beata;1997-4-14;110000
1239;Mdbacka;Bibiana;1952-7-29;111110
1240;Rrbacka;Aurelia;1996-4-10;100011
1241;Wubacka;Beata;1991-8-30;010110
1242;Labacki;Juliusz;1990-11-28;010000
1243;Labacka;Hadrianna;1963-8-12;100010
1244;Gabacka;Klaudia;1996-4-20;001000
1245;Sabacki;Juniusz;1955-4-16;101111
1246;Cgbacka;Lucja;1959-5-13;110000
1247;Ugbacki;Emilian;1967-10-1;001110
1248;Hlbacki;Marek;1989-4-17;110000
1249;Cdbacki;Barbacy;1959-8-28;110110
1250;Fpbacki;Kryspin;1969-8-25;110111
1251;Pobacka;Tulia;1979-1-23;000111
1252;Hobacki;Sergiusz;1982-5-29;010000
1253;Opbacka;Sewera;1984-12-20;001001
1254;Rabacka;Marcelina;1969-12-23;011000
1255;Otbacki;Tyburcy;1982-7-4;111000
1256;Fwbacki;Donat;1994-10-18;111101
1257;Grbacka;Klarysa;1996-9-8;000110
1258;Hgbacki;January;1987-8-4;001111
1259;Djbacka;Kancjanela;1987-12-18;010110
1260;Chbacka;Kwieta;1988-1-2;000110
1261;Apbacki;Bonet;1988-1-31;110111
1262;Mabacki;£ucjan;1970-10-3;011011
1263;Bebacka;Lukrecja;1951-11-10;101011
1264;Tobacki;Maniusz;1953-1-13;001011
1265;Sbbacki;Mamertyn;1972-10-3;001100
1266;Pcbacki;Auksencjusz;1988-8-17;001100
1267;Skbacki;Celestyn;1952-7-4;010111
1268;Lfbacki;Floryn;1995-4-15;111011
1269;Nkbacki;Tryfiliusz;1954-9-7;110011
1270;Cjbacki;Cecylian;1964-10-11;001010
1271;Nabacki;Serwacy;1987-7-21;001111
1272;Rsbacka;Gaja;1999-11-15;110100
1273;Ltbacki;Patrycjusz;1951-4-4;010110
1274;Bbbacka;Augusta;1969-4-14;000111
1275;Prbacka;Lucyla;1965-4-25;101101
1276;Pnbacka;Paula;1953-2-7;101100
1277;Adbacka;Eligia;1986-7-26;111011
1278;Habacki;Sergiusz;1972-12-31;101101
1279;Mgbacki;Auksenty;1964-11-9;010111
1280;Egbacka;Romana;1985-8-24;110100
1281;Lgbacka;Tyburcja;1991-6-24;001000
1282;Hjbacka;Wiktoria;1987-7-16;101111
1283;Etbacki;Tertulian;1960-11-17;010110
1284;Rlbacki;Dominik;1978-3-5;011011
1285;Oabacki;Honoryn;1972-8-16;101110
1286;Wibacka;Kwiryna;1972-11-27;100001
1287;Hpbacka;Modesta;1950-5-24;001010
1288;Ojbacki;Petroniusz;1998-11-12;011000
1289;Wkbacki;August;1955-2-28;111111
1290;Cebacki;Modest;1977-6-18;001010
1291;Dabacki;Natalis;1962-8-24;011111
1292;Babacka;Honoryna;1998-5-20;100000
1293;Mkbacka;Wirydiana;1999-3-17;100010
1294;Mtbacka;Wiktoria;1975-3-13;000001
1295;Wbbacka;Izaura;1966-8-3;111101
1296;Hpbacki;Mauryn;1954-8-6;101011
1297;Bobacki;Augustyn;1987-6-14;100010
1298;Wsbacka;Marcjanna;1983-11-23;010111
1299;Cmbacki;Patrycy;1971-6-28;000111
1300;Dsbacki;Fidelis;1959-10-17;111010
1301;Csbacka;Gloria;1973-12-16;110001
1302;Hibacki;Kryspin;1964-11-23;111100
