kod ucznia;Imię i nazwisko;uzyskana ocena;waga oceny
A1;Anna Badowska;2;1
A2;Wanda Budna;3;1
A3;Kamil Giżycki;5;1
A4;Monika Kętrzyńska;1;1
A5;Jan Kętrzyński;2;1
A6;Jerzy Kiczyński;6;1
A7;Zbigniew Klimaszewski;4;1
A8;Zyta Kosiewicz;5;1
A9;Magda Kot;3;1
A10;Tomasz Kotowy;6;1
A11;Kamila Kotwicz;3;1
A12;Janina Kowalska;1;1
A13;Bartek Kus;3;1
A14;Waldemar Lato;6;1
A15;Ewa Małolepsza;6;1
A16;Grzegorz Małolepszy;4;1
A17;Agnieszka Małpińska;5;1
A18;Wanda Matejko;4;1
A19;Jarosław Mickiewicz;6;1
A20;Katarzyna Narcyz;4;1
A21;Joanna Nowak;4;1
A22;Marek Piłat;1;1
A23;Maria Sienkiewicz;5;1
A24;Apolonia Wenger;5;1
A25;Tamara Wiejska;6;1
A26;Olga Wiosna;3;1
A27;Aleksandra Wolicka;1;1
A28;Andrzej Zima;4;1
B1;Sandra Adamowicz;3;1
B2;Wacław Andrus;3;1
B3;Katarzyna Andrzejewicz;3;1
B4;Wiesław Brodnicki;6;1
B5;Małgorzata Dawidek;1;1
B6;Jędrzej Domarski;4;1
B7;Paweł Emerycki;6;1
B8;Jolanta Emeryst;2;1
B9;Lidia Filipek;1;1
B10;Maryla Gadocha;3;1
B11;Zenon Grudziądzki;5;1
B12;Anna Humańska;3;1
B13;Weronika Kędziora;1;1
B14;Dariusz Klimowicz;6;1
B15;Janina Kowalska;1;1
B16;Lutek Lidzbarski;3;1
B17;Sylwia Malinowska;5;1
B18;Ewa Milicka;6;1
B19;Bogna Musiał;1;1
B20;Kinga Warszawska;4;1
B21;Zyta Wiejska;2;1
B22;Marcin Wiesielki;5;1
B23;Paweł Wilicki;1;1
B24;Jadwiga Wiosenna;2;1
B25;Maria Wiśnia;6;1
B26;Gaweł Wysocki;1;1
C1;Jagoda Bielicka;3;1
C2;Mariusz Bielski;5;1
C3;Jan Czerwiński;4;1
C4;Eryka Ełcka;6;1
C5;Jolanta Emilianowicz;3;1
C6;Maksymilian Ewendrynowicz;6;1
C7;Wanda Hałaśliwa;6;1
C8;Danuta Kożuszkiewicz;4;1
C9;Czesłąw Lipski;6;1
C10;Dorota Narcyzowicz;3;1
C11;Wiesława Piskorz;6;1
C12;Lech Przymanowski;5;1
C13;Lidia Różalska;2;1
C14;Zyta Różycka;3;1
C15;Henryk Rycerski;1;1
C16;Julian Rymarz;5;1
C17;Krzysztof Statkiewicz;5;1
C18;Alojzy Toruńczyk;3;1
C19;Jolanta Tulipan;5;1
C20;Agnieszka Wilmowicz;3;1
C21;Eryka Winny;4;1
C22;Sławomir Wiślicki;2;1
C23;Jan Wiśniewicz;3;1
C24;Mariusz Wolny;3;1
C25;Ewa Wróbel;1;1
C26;Ela Wymiękła;4;1
C27;Henryk Wyszyński;1;1
C28;Oliwia Zadroga;4;1
C29;Inga Zielińska;4;1
C30;Dariusz Ziemski;1;1
D1;Waldemar Buncol;3;1
D2;Wiesława Ciechan;1;1
D3;Mariusz Ciechanowicz;5;1
D4;Kamil Dumowicz;6;1
D5;Lesław Gadkowicz;1;1
D6;Wanda Jabłońska;1;1
D7;Lidia Jankowicz;3;1
D8;Wiesław Kajakowicz;2;1
D9;Anna Kamas;3;1
D10;Janusz Katarzyński;6;1
D11;Julian Kłos;6;1
D12;Magdalena Kolba;6;1
D13;Mirek Kolbowicz;3;1
D14;Beata Kwiatek;1;1
D15;Bazyli Kwieciński;3;1
D16;Sylwia Mazur;5;1
D17;Maria Nowicka;3;1
D18;Kazimierz Ojenalek;3;1
D19;Jan Pomazańczyk;6;1
D20;Maria Prus;2;1
D21;Eliza Pszczółka;5;1
D22;Adela Rybak;4;1
D23;Tamara Siwek;1;1
D24;Klemens Słowiński;6;1
D25;Kazimierz Winny;5;1
D26;Mariusz Wiśniewski;3;1
D27;Lesław Wolski;3;1
D28;Dagmara Ziarno;3;1
D29;Elwira Zimkiewicz;4;1
A6;Jerzy Kiczyński;1;2
A12;Janina Kowalska;1;2
A13;Bartek Kus;1;2
A22;Marek Piłat;1;2
A26;Olga Wiosna;1;2
A28;Andrzej Zima;1;2
B3;Katarzyna Andrzejewicz;1;2
B6;Jędrzej Domarski;1;2
B11;Zenon Grudziądzki;1;2
B13;Weronika Kędziora;1;2
B17;Sylwia Malinowska;1;2
B18;Ewa Milicka;1;2
B21;Zyta Wiejska;1;2
C1;Jagoda Bielicka;1;2
C2;Mariusz Bielski;1;2
C10;Dorota Narcyzowicz;1;2
C19;Jolanta Tulipan;1;2
C23;Jan Wiśniewicz;1;2
D10;Janusz Katarzyński;1;2
D11;Julian Kłos;1;2
A1;Anna Badowska;2;2
A5;Jan Kętrzyński;2;2
A16;Grzegorz Małolepszy;2;2
A19;Jarosław Mickiewicz;2;2
A20;Katarzyna Narcyz;2;2
A25;Tamara Wiejska;2;2
B7;Paweł Emerycki;2;2
B12;Anna Humańska;2;2
B16;Lutek Lidzbarski;2;2
B20;Kinga Warszawska;2;2
B22;Marcin Wiesielki;2;2
C15;Henryk Rycerski;2;2
C26;Ela Wymiękła;2;2
D1;Waldemar Buncol;2;2
D2;Wiesława Ciechan;2;2
D5;Lesław Gadkowicz;2;2
D12;Magdalena Kolba;2;2
D13;Mirek Kolbowicz;2;2
D25;Kazimierz Winny;2;2
D27;Lesław Wolski;2;2
D29;Elwira Zimkiewicz;2;2
A4;Monika Kętrzyńska;3;2
A14;Waldemar Lato;6;2
A17;Agnieszka Małpińska;3;2
A27;Aleksandra Wolicka;3;2
B1;Sandra Adamowicz;3;2
B2;Wacław Andrus;3;2
B4;Wiesław Brodnicki;3;2
B9;Lidia Filipek;3;2
B19;Bogna Musiał;3;2
B26;Gaweł Wysocki;1;2
C5;Jolanta Emilianowicz;3;2
C22;Sławomir Wiślicki;3;2
C30;Dariusz Ziemski;3;2
D4;Kamil Dumowicz;3;2
D6;Wanda Jabłońska;3;2
D19;Jan Pomazańczyk;3;2
D26;Mariusz Wiśniewski;3;2
A9;Magda Kot;4;2
C4;Eryka Ełcka;4;2
C7;Wanda Hałaśliwa;4;2
C9;Czesłąw Lipski;4;2
C11;Wiesława Piskorz;4;2
C14;Zyta Różycka;4;2
D3;Mariusz Ciechanowicz;4;2
D15;Bazyli Kwieciński;4;2
D21;Eliza Pszczółka;4;2
A2;Wanda Budna;5;2
A3;Kamil Giżycki;5;2
A7;Zbigniew Klimaszewski;5;2
A10;Tomasz Kotowy;5;2
A18;Wanda Matejko;5;2
A21;Joanna Nowak;5;2
A23;Maria Sienkiewicz;5;2
A24;Apolonia Wenger;5;2
B8;Jolanta Emeryst;5;2
B23;Paweł Wilicki;5;2
B24;Jadwiga Wiosenna;5;2
C3;Jan Czerwiński;5;2
C6;Maksymilian Ewendrynowicz;6;2
C13;Lidia Różalska;5;2
C25;Ewa Wróbel;5;2
C27;Henryk Wyszyński;5;2
C28;Oliwia Zadroga;5;2
D8;Wiesław Kajakowicz;5;2
D9;Anna Kamas;5;2
D16;Sylwia Mazur;5;2
D17;Maria Nowicka;5;2
D18;Kazimierz Ojenalek;5;2
D20;Maria Prus;5;2
D22;Adela Rybak;5;2
D24;Klemens Słowiński;5;2
A8;Zyta Kosiewicz;6;2
A11;Kamila Kotwicz;6;2
B10;Maryla Gadocha;6;2
B15;Janina Kowalska;6;2
B25;Maria Wiśnia;6;2
C12;Lech Przymanowski;6;2
C16;Julian Rymarz;6;2
C17;Krzysztof Statkiewicz;6;2
C18;Alojzy Toruńczyk;6;2
C20;Agnieszka Wilmowicz;6;2
C21;Eryka Winny;6;2
C29;Inga Zielińska;6;2
